OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
Diagnostic Medical Sonographers,Diagnostic medical sonographers use medical equipment that directs sound waves into a patient's body in order to produce images that help to assess and diagnose medical conditions. They decide which images to include by looking for healthy and pathological areas.,Healthcare Practitioners and Technical Occupations,54760,65210,43.5,Associate's degree,None,None
Dietitians and Nutritionists,"Workers in this field plan and coordinate food service or nutritional programs to help promote good health and disease control. They may counsel individuals, conduct nutritional research or supervise activities of a department providing quantity food services.",Healthcare Practitioners and Technical Occupations,56130,54470,19.7,Bachelor's degree,None,Internship/residency
"Drafters, All Other",This field refers to the small percentage of drafters whose job duties aren't listed separately.,Architecture and Engineering,16070,45600,-4,Associate's degree,None,None
"Earth Drillers, Except Oil and Gas","Earth drillers drill holes into rock in order to blast, grout, anchor, or build foundations. They must operate machinery and regulate all aspects of the drilling, including the control speed and placement, as well as selecting the appropriate tools needed for each job.",Construction and Extraction,17020,40200,13.8,High school diploma or equivalent,None,Moderate-term on-the-job training
"Economics Teachers, Postsecondary","Teachers in this field prepare and administer courses related to economics. Subjects may include econometrics, price theory, microeconomics, and macroeconomics. They grade assignments, deliver lectures, manage course materials, and moderate classroom discussions.","Education, Training, and Library",13300,85310,17.4,Doctoral or professional degree,None,None
Economists,"Economists conduct research, create plans, and prepare reports for problems related the production and distribution of goods and services. They may also collect economic data for sampling techniques and econometric methods.","Life, Physical, and Social Science",14270,90550,6.1,Bachelor's degree,None,None
Editors,"In-office or remote, editors develop content ideas, rewrite and edit copy to improve readability, and adhere to publication styles and brand standards. They may also be in charge of artwork, layout, printing, and restrictions such as deadlines and budget requirements.","Arts, Design, Entertainment, Sports, and Media",98990,52380,0.6,Bachelor's degree,1 to 5 years,None
Education Administrators and Childcare Center/Program,"Education administrators for preschool and childcare programs plan, direct, and coordinate the activities of preschool and childcare centers. They set educational standards and goals, and help establish policies, procedures, and programs to carry them out.",Management,49320,43830,24.9,Bachelor's degree,1 to 5 years,None
"Education Administrators, All Other","Occupations in this field include distance learning coordinators, and fitness and wellness coordinators.",Management,28090,76730,13.6,Bachelor's degree,1 to 5 years,None
"Education Administrators, Elementary and Secondary School","Workers in this area are typically leaders who direct, coordinate, and plan activities for private and public elementary or secondary schools. They also collaborate with teachers to plan curriculum, and they develop and set performance goals and objectives.",Management,222810,87470,9.8,Master's degree,1 to 5 years,None
